"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Patternmakers, wood","=""51-7032""","Line Item","0.2","0.0","36.1","0.2","0.0","41.4","0.0","-0.9","992","4"
"Woodworking machine setters, operators, and tenders","=""51-7040""","Summary","92.2","0.7","86.9","90.4","0.7","86.4","-1.9","-2.0","993","3"
"Sawing machine setters, operators, and tenders, wood","=""51-7041""","Line Item","36.5","0.3","80.1","36.1","0.3","79.6","-0.4","-1.1","994","4"
"Woodworking machine setters, operators, and tenders, except sawing","=""51-7042""","Line Item","55.7","0.4","92.1","54.3","0.4","91.6","-1.4","-2.6","995","4"
"Woodworkers, all other","=""51-7099""","Line Item","5.7","0.0","37.6","5.7","0.0","43.6","0.0","0.2","996","3"
"Plant and system operators","=""51-8000""","Summary","53.5","0.4","18.4","51.5","0.4","18.4","-2.0","-3.8","997","2"
"Power plant operators, distributors, and dispatchers","=""51-8010""","Summary","0.9","0.0","1.9","0.8","0.0","1.9","-0.1","-11.3","998","3"
"Power plant operators","=""51-8013""","Line Item","0.9","0.0","2.7","0.8","0.0","2.7","-0.1","-11.1","1001","4"
"Stationary engineers and boiler operators","=""51-8021""","Line Item","5.8","0.0","16.4","5.7","0.0","15.4","-0.1","-2.3","1002","3"
"Water and wastewater treatment plant and system operators","=""51-8031""","Line Item","5.1","0.0","4.1","4.7","0.0","4.0","-0.4","-8.0","1003","3"
"Miscellaneous plant and system operators","=""51-8090""","Summary","41.7","0.3","49.7","40.3","0.3","49.2","-1.4","-3.3","1004","3"
"Chemical plant and system operators","=""51-8091""","Line Item","17.0","0.1","92.4","16.8","0.1","92.0","-0.2","-1.2","1005","4"
"Gas plant operators","=""51-8092""","Line Item","1.1","0.0","6.8","1.0","0.0","6.7","-0.1","-10.5","1006","4"
"Petroleum pump system operators, refinery operators, and gaugers","=""51-8093""","Line Item","17.4","0.1","51.7","16.2","0.1","49.2","-1.2","-7.0","1007","4"
"Plant and system operators, all other","=""51-8099""","Line Item","6.2","0.0","39.4","6.4","0.0","39.1","0.2","2.6","1008","4"
"Other production occupations","=""51-9000""","Summary","1,888.3","14.6","71.9","1,861.5","14.3","71.6","-26.9","-1.4","1009","2"
"Chemical processing machine setters, operators, and tenders","=""51-9010""","Summary","162.6","1.3","92.7","156.1","1.2","92.0","-6.5","-4.0","1010","3"
"Chemical equipment operators and tenders","=""51-9011""","Line Item","119.0","0.9","97.6","112.2","0.9","97.3","-6.7","-5.6","1011","4"
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders","=""51-9012""","Line Item","43.6","0.3","81.6","43.8","0.3","80.6","0.2","0.5","1012","4"
"Crushing, grinding, polishing, mixing, and blending workers","=""51-9020""","Summary","111.6","0.9","76.0","111.5","0.9","74.8","-0.1","-0.1","1013","3"
"Crushing, grinding, and polishing machine setters, operators, and tenders","=""51-9021""","Line Item","16.5","0.1","62.1","16.0","0.1","60.8","-0.5","-3.1","1014","4"
"Grinding and polishing workers, hand","=""51-9022""","Line Item","9.6","0.1","76.5","7.7","0.1","74.5","-1.9","-19.9","1015","4"
"Mixing and blending machine setters, operators, and tenders","=""51-9023""","Line Item","85.5","0.7","79.4","87.8","0.7","78.1","2.3","2.7","1016","4"
"Cutting workers","=""51-9030""","Summary","49.0","0.4","82.6","46.2","0.4","81.4","-2.9","-5.8","1017","3"
"Cutters and trimmers, hand","=""51-9031""","Line Item","5.7","0.0","82.9","4.6","0.0","81.7","-1.1","-19.6","1018","4"
"Cutting and slicing machine setters, operators, and tenders","=""51-9032""","Line Item","43.3","0.3","82.6","41.6","0.3","81.4","-1.7","-4.0","1019","4"
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","=""51-9041""","Line Item","53.9","0.4","94.2","55.3","0.4","94.1","1.4","2.6","1020","3"
"Furnace, kiln, oven, drier, and kettle operators and tenders","=""51-9051""","Line Item","12.5","0.1","82.4","12.9","0.1","82.8","0.3","2.5","1021","3"
"Inspectors, testers, sorters, samplers, and weighers","=""51-9061""","Line Item","383.0","3.0","64.3","373.0","2.9","64.6","-10.0","-2.6","1022","3"
"Jewelers and precious stone and metal workers","=""51-9071""","Line Item","6.8","0.1","14.7","5.5","0.0","12.4","-1.3","-18.6","1023","3"
"Dental and ophthalmic laboratory technicians and medical appliance technicians","=""51-9080""","Summary","44.4","0.3","66.2","43.6","0.3","65.7","-0.8","-1.8","1024","3"
"Dental laboratory technicians","=""51-9081""","Line Item","28.8","0.2","81.8","27.7","0.2","82.4","-1.0","-3.5","1025","4"
"Medical appliance technicians","=""51-9082""","Line Item","7.7","0.1","59.4","7.9","0.1","59.0","0.2","3.2","1026","4"
"Ophthalmic laboratory technicians","=""51-9083""","Line Item","7.9","0.1","42.0","7.9","0.1","41.1","0.0","-0.4","1027","4"
"Packaging and filling machine operators and tenders","=""51-9111""","Line Item","293.2","2.3","79.7","314.2","2.4","80.0","21.0","7.2","1028","3"
"Painting workers","=""51-9120""","Summary","115.6","0.9","64.4","115.9","0.9","63.8","0.3","0.3","1029","3"
"Painting, coating, and decorating workers","=""51-9123""","Line Item","7.2","0.1","62.7","7.2","0.1","62.3","0.1","0.7","1030","4"
"Coating, painting, and spraying machine setters, operators, and tenders","=""51-9124""","Line Item","108.4","0.8","64.5","108.7","0.8","64.0","0.3","0.3","1031","4"
"Semiconductor processing technicians","=""51-9141""","Line Item","25.7","0.2","96.7","29.1","0.2","96.8","3.4","13.1","1032","3"
"Photographic process workers and processing machine operators","=""51-9151""","Line Item","0.3","0.0","3.7","0.3","0.0","3.4","0.0","-6.4","1033","3"
"Computer numerically controlled tool operators and programmers","=""51-9160""","Summary","201.2","1.6","92.2","187.9","1.4","91.7","-13.3","-6.6","1034","3"
"Computer numerically controlled tool operators","=""51-9161""","Line Item","176.0","1.4","92.7","159.1","1.2","92.3","-16.9","-9.6","1035","4"
"Computer numerically controlled tool programmers","=""51-9162""","Line Item","25.2","0.2","88.9","28.8","0.2","88.6","3.6","14.5","1036","4"
"Miscellaneous production workers","=""51-9190""","Summary","428.6","3.3","64.9","410.1","3.1","63.7","-18.5","-4.3","1037","3"
"Adhesive bonding machine operators and tenders","=""51-9191""","Line Item","12.0","0.1","95.8","11.9","0.1","95.7","-0.1","-0.7","1038","4"
"Cleaning, washing, and metal pickling equipment operators and tenders","=""51-9192""","Line Item","11.6","0.1","73.0","12.1","0.1","73.2","0.6","4.9","1039","4"
"Cooling and freezing equipment operators and tenders","=""51-9193""","Line Item","5.4","0.0","75.9","5.9","0.0","76.0","0.5","9.6","1040","4"
"Etchers and engravers","=""51-9194""","Line Item","4.0","0.0","34.3","4.0","0.0","33.2","0.0","-0.9","1041","4"
"Molders, shapers, and casters, except metal and plastic","=""51-9195""","Line Item","31.6","0.2","64.1","33.8","0.3","65.2","2.2","7.1","1042","4"
"Paper goods machine setters, operators, and tenders","=""51-9196""","Line Item","92.4","0.7","97.0","80.3","0.6","96.5","-12.1","-13.0","1043","4"
"Tire builders","=""51-9197""","Line Item","20.0","0.2","96.9","20.6","0.2","97.0","0.6","3.2","1044","4"
"Helpers--production workers","=""51-9198""","Line Item","128.8","1.0","70.2","117.2","0.9","69.6","-11.7","-9.0","1045","4"
"Production workers, all other","=""51-9199""","Line Item","122.9","0.9","46.4","124.2","1.0","46.0","1.3","1.1","1046","4"
"Transportation and material moving occupations","=""53-0000""","Summary","1,164.0","9.0","8.1","1,191.2","9.1","7.9","27.2","2.3","1047","1"
"Supervisors of transportation and material moving workers","=""53-1000""","Summary","47.2","0.4","7.8","48.9","0.4","7.7","1.7","3.6","1048","2"
"Aircraft cargo handling supervisors","=""53-1041""","Line Item","0.1","0.0","0.6","0.1","0.0","0.5","0.0","2.9","1049","3"
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors","=""53-1047""","Line Item","47.1","0.4","7.9","48.8","0.4","7.8","1.7","3.6","1050","3"
"Air transportation workers","=""53-2000""","Summary","1.8","0.0","0.5","1.8","0.0","0.5","0.0","2.7","1051","2"
"Aircraft pilots and flight engineers","=""53-2010""","Summary","1.5","0.0","1.0","1.6","0.0","1.0","0.0","2.7","1052","3"
"Airline pilots, copilots, and flight engineers","=""53-2011""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","2.4","1053","4"
"Commercial pilots","=""53-2012""","Line Item","1.4","0.0","2.4","1.4","0.0","2.3","0.0","2.7","1054","4"
"Air traffic controllers and airfield operations specialists","=""53-2020""","Summary","0.2","0.0","0.6","0.2","0.0","0.5","0.0","2.5","1055","3"
"Airfield operations specialists","=""53-2022""","Line Item","0.2","0.0","1.2","0.2","0.0","1.2","0.0","2.4","1057","4"
"Motor vehicle operators","=""53-3000""","Summary","210.8","1.6","4.3","220.4","1.7","4.3","9.5","4.5","1059","2"
"Driver/sales workers and truck drivers","=""53-3030""","Summary","209.4","1.6","5.5","218.9","1.7","5.4","9.5","4.5","1061","3"
"Driver/sales workers","=""53-3031""","Line Item","16.2","0.1","3.2","18.5","0.1","3.4","2.3","14.3","1062","4"
"Heavy and tractor-trailer truck drivers","=""53-3032""","Line Item","156.3","1.2","7.1","162.2","1.2","7.0","5.9","3.8","1063","4"
"Light truck drivers","=""53-3033""","Line Item","36.9","0.3","3.4","38.2","0.3","3.2","1.3","3.5","1064","4"
"Passenger vehicle drivers","=""53-3050""","Summary","0.5","0.0","0.1","0.6","0.0","0.1","0.0","7.7","1065","3"
"Shuttle drivers and chauffeurs","=""53-3053""","Line Item","0.5","0.0","0.2","0.6","0.0","0.2","0.0","7.7","1068","4"
"Motor vehicle operators, all other","=""53-3099""","Line Item","0.8","0.0","1.0","0.9","0.0","0.9","0.0","3.8","1070","3"
"Rail transportation workers","=""53-4000""","Summary","0.4","0.0","0.4","0.4","0.0","0.4","0.0","3.3","1071","2"
"Locomotive engineers and operators","=""53-4010""","Summary","0.2","0.0","0.7","0.2","0.0","0.7","0.0","4.2","1072","3"
"Locomotive engineers","=""53-4011""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","2.2","1073","4"
"Rail yard engineers, dinkey operators, and hostlers","=""53-4013""","Line Item","0.1","0.0","4.8","0.1","0.0","5.0","0.0","5.8","1074","4"
"Railroad brake, signal, and switch operators and locomotive firers","=""53-4022""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","-0.1","1075","3"
"Railroad conductors and yardmasters","=""53-4031""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","3.8","1076","3"
"Water transportation workers","=""53-5000""","Summary","0.5","0.0","0.6","0.5","0.0","0.6","0.0","3.7","1079","2"
"Sailors and marine oilers","=""53-5011""","Line Item","0.2","0.0","0.5","0.2","0.0","0.5","0.0","3.4","1080","3"
"Ship and boat captains and operators","=""53-5020""","Summary","0.3","0.0","0.6","0.3","0.0","0.6","0.0","4.1","1081","3"
"Captains, mates, and pilots of water vessels","=""53-5021""","Line Item","0.2","0.0","0.6","0.3","0.0","0.6","0.0","4.4","1082","4"
"Ship engineers","=""53-5031""","Line Item","0.1","0.0","0.9","0.1","0.0","0.9","0.0","3.3","1084","3"
"Other transportation workers","=""53-6000""","Summary","1.6","0.0","0.5","1.6","0.0","0.5","0.0","2.7","1085","2"
"Automotive and watercraft service attendants","=""53-6031""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","2.1","1089","4"
"Transportation inspectors","=""53-6051""","Line Item","1.1","0.0","3.6","1.1","0.0","3.5","0.0","1.4","1092","3"
"Transportation workers, all other","=""53-6099""","Line Item","0.2","0.0","1.6","0.2","0.0","1.6","0.0","6.7","1094","3"
"Material moving workers","=""53-7000""","Summary","901.8","7.0","11.2","917.6","7.0","11.0","15.8","1.8","1095","2"
"Conveyor operators and tenders","=""53-7011""","Line Item","5.7","0.0","18.6","5.7","0.0","19.1","0.1","1.6","1096","3"
"Crane and tower operators","=""53-7021""","Line Item","8.9","0.1","20.9","9.1","0.1","20.6","0.2","2.0","1097","3"
"Hoist and winch operators","=""53-7041""","Line Item","0.7","0.0","24.9","0.7","0.0","24.6","0.0","-1.7","1099","3"
"Industrial truck and tractor operators","=""53-7051""","Line Item","181.1","1.4","23.5","184.7","1.4","23.3","3.7","2.0","1100","3"
"Laborers and material movers","=""53-7060""","Summary","699.9","5.4","10.1","711.7","5.5","9.8","11.8","1.7","1101","3"
"Cleaners of vehicles and equipment","=""53-7061""","Line Item","28.5","0.2","7.1","30.2","0.2","7.2","1.8","6.2","1102","4"
"Laborers and freight, stock, and material movers, hand","=""53-7062""","Line Item","405.5","3.1","13.5","414.7","3.2","13.2","9.1","2.2","1103","4"
"Machine feeders and offbearers","=""53-7063""","Line Item","30.1","0.2","68.8","25.3","0.2","66.3","-4.8","-15.9","1104","4"
"Packers and packagers, hand","=""53-7064""","Line Item","147.6","1.1","23.0","151.3","1.2","24.6","3.7","2.5","1105","4"
"Stockers and order fillers","=""53-7065""","Line Item","88.2","0.7","3.1","90.1","0.7","3.0","2.0","2.2","1106","4"
"Pumping station operators","=""53-7070""","Summary","0.9","0.0","2.6","1.0","0.0","2.7","0.0","4.0","1107","3"
"Gas compressor and gas pumping station operators","=""53-7071""","Line Item","0.2","0.0","5.1","0.2","0.0","5.2","0.0","3.7","1108","4"
"Pump operators, except wellhead pumpers","=""53-7072""","Line Item","0.5","0.0","4.3","0.5","0.0","4.4","0.0","6.6","1109","4"
"Wellhead pumpers","=""53-7073""","Line Item","0.2","0.0","1.0","0.2","0.0","1.0","0.0","-2.2","1110","4"
"Refuse and recyclable material collectors","=""53-7081""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-3.1","1111","3"
"Tank car, truck, and ship loaders","=""53-7121""","Line Item","1.7","0.0","13.6","1.8","0.0","13.4","0.0","2.5","1112","3"
"Material moving workers, all other","=""53-7199""","Line Item","2.7","0.0","10.2","2.8","0.0","10.0","0.1","2.2","1113","3"
