"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Supervisors of farming, fishing, and forestry workers","=""45-1000""","Summary","0.7","0.0","1.0","0.7","0.0","1.1","0.0","3.7","743","2"
"First-line supervisors of farming, fishing, and forestry workers","=""45-1011""","Line Item","0.7","0.0","1.0","0.7","0.0","1.1","0.0","3.7","744","3"
"Agricultural workers","=""45-2000""","Summary","2.3","0.0","0.3","2.3","0.0","0.3","0.0","-0.5","745","2"
"Agricultural inspectors","=""45-2011""","Line Item","0.1","0.0","0.7","0.1","0.0","0.7","0.0","5.5","746","3"
"Miscellaneous agricultural workers","=""45-2090""","Summary","2.2","0.0","0.3","2.1","0.0","0.3","0.0","-0.8","749","3"
"Agricultural equipment operators","=""45-2091""","Line Item","0.1","0.0","0.2","0.2","0.0","0.2","0.0","5.3","750","4"
"Farmworkers and laborers, crop, nursery, and greenhouse","=""45-2092""","Line Item","1.1","0.0","0.2","1.0","0.0","0.2","0.0","-2.0","751","4"
"Farmworkers, farm, ranch, and aquacultural animals","=""45-2093""","Line Item","0.7","0.0","0.4","0.7","0.0","0.4","0.0","-1.7","752","4"
"Agricultural workers, all other","=""45-2099""","Line Item","0.2","0.0","2.0","0.2","0.0","2.1","0.0","4.0","753","4"
"Construction and extraction occupations","=""47-0000""","Summary","47.0","0.3","0.6","48.0","0.3","0.6","1.0","2.1","763","1"
"Supervisors of construction and extraction workers","=""47-1000""","Summary","3.6","0.0","0.4","3.8","0.0","0.4","0.1","3.2","764","2"
"First-line supervisors of construction trades and extraction workers","=""47-1011""","Line Item","3.6","0.0","0.4","3.8","0.0","0.4","0.1","3.2","765","3"
"Construction trades workers","=""47-2000""","Summary","40.5","0.3","0.7","41.3","0.3","0.7","0.8","2.1","766","2"
"Boilermakers","=""47-2011""","Line Item","0.2","0.0","2.2","0.3","0.0","2.3","0.0","3.3","767","3"
"Brickmasons, blockmasons, and stonemasons","=""47-2020""","Summary","0.2","0.0","0.3","0.2","0.0","0.3","0.0","3.1","768","3"
"Brickmasons and blockmasons","=""47-2021""","Line Item","0.2","0.0","0.3","0.2","0.0","0.3","0.0","3.8","769","4"
"Carpenters","=""47-2031""","Line Item","7.9","0.1","0.9","8.1","0.1","0.8","0.1","1.8","771","3"
"Carpet, floor, and tile installers and finishers","=""47-2040""","Summary","0.2","0.0","0.1","0.2","0.0","0.1","0.0","7.3","772","3"
"Floor layers, except carpet, wood, and hard tiles","=""47-2042""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","11.7","774","4"
"Tile and stone setters","=""47-2044""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","14.1","776","4"
"Cement masons, concrete finishers, and terrazzo workers","=""47-2050""","Summary","0.3","0.0","0.1","0.3","0.0","0.1","0.0","-7.4","777","3"
"Cement masons and concrete finishers","=""47-2051""","Line Item","0.3","0.0","0.1","0.3","0.0","0.1","0.0","-7.5","778","4"
"Construction laborers","=""47-2061""","Line Item","4.6","0.0","0.3","4.6","0.0","0.3","0.0","0.8","780","3"
"Construction equipment operators","=""47-2070""","Summary","1.0","0.0","0.2","1.1","0.0","0.2","0.0","2.9","781","3"
"Operating engineers and other construction equipment operators","=""47-2073""","Line Item","1.0","0.0","0.2","1.1","0.0","0.2","0.0","2.9","784","4"
"Electricians","=""47-2111""","Line Item","11.0","0.1","1.4","11.3","0.1","1.3","0.3","2.4","788","3"
"Glaziers","=""47-2121""","Line Item","0.2","0.0","0.4","0.2","0.0","0.3","0.0","0.7","789","3"
"Insulation workers","=""47-2130""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","3.5","790","3"
"Painters and paperhangers","=""47-2140""","Summary","5.3","0.0","1.5","5.4","0.0","1.5","0.1","2.3","793","3"
"Painters, construction and maintenance","=""47-2141""","Line Item","5.3","0.0","1.6","5.4","0.0","1.5","0.1","2.3","794","4"
"Pipelayers, plumbers, pipefitters, and steamfitters","=""47-2150""","Summary","8.3","0.1","1.6","8.5","0.1","1.6","0.2","2.4","796","3"
"Pipelayers","=""47-2151""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","4.8","797","4"
"Plumbers, pipefitters, and steamfitters","=""47-2152""","Line Item","8.2","0.1","1.7","8.4","0.1","1.7","0.2","2.3","798","4"
"Plasterers and stucco masons","=""47-2161""","Line Item","0.1","0.0","0.5","0.1","0.0","0.5","0.0","4.3","799","3"
"Roofers","=""47-2181""","Line Item","0.5","0.0","0.3","0.5","0.0","0.3","0.0","2.1","801","3"
"Sheet metal workers","=""47-2211""","Line Item","0.5","0.0","0.4","0.5","0.0","0.4","0.0","3.9","802","3"
"Helpers, construction trades","=""47-3000""","Summary","0.4","0.0","0.2","0.4","0.0","0.2","0.0","2.0","805","2"
"Helpers--carpenters","=""47-3012""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","-0.1","807","3"
"Helpers--electricians","=""47-3013""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","1.8","808","3"
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters","=""47-3015""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","1.0","810","3"
"Helpers, construction trades, all other","=""47-3019""","Line Item","0.1","0.0","0.5","0.1","0.0","0.5","0.0","3.6","812","3"
"Other construction and related workers","=""47-4000""","Summary","2.5","0.0","0.5","2.6","0.0","0.5","0.0","0.7","813","2"
"Construction and building inspectors","=""47-4011""","Line Item","1.0","0.0","0.7","1.0","0.0","0.7","0.0","-2.2","814","3"
"Elevator and escalator installers and repairers","=""47-4021""","Line Item","0.2","0.0","0.8","0.2","0.0","0.8","0.0","5.3","815","3"
"Miscellaneous construction and related workers","=""47-4090""","Line Item","0.7","0.0","2.2","0.7","0.0","2.2","0.0","3.6","821","3"
"Installation, maintenance, and repair occupations","=""49-0000""","Summary","188.4","1.3","2.9","189.6","1.3","2.8","1.2","0.6","840","1"
"Supervisors of installation, maintenance, and repair workers","=""49-1000""","Summary","20.9","0.1","3.5","21.2","0.1","3.4","0.3","1.5","841","2"
"First-line supervisors of mechanics, installers, and repairers","=""49-1011""","Line Item","20.9","0.1","3.5","21.2","0.1","3.4","0.3","1.5","842","3"
"Electrical and electronic equipment mechanics, installers, and repairers","=""49-2000""","Summary","4.7","0.0","0.9","4.8","0.0","0.9","0.1","1.4","843","2"
"Computer, automated teller, and office machine repairers","=""49-2011""","Line Item","1.5","0.0","1.8","1.6","0.0","1.9","0.0","1.5","844","3"
"Radio and telecommunications equipment installers and repairers","=""49-2020""","Summary","0.9","0.0","0.5","0.9","0.0","0.5","0.0","2.5","845","3"
"Telecommunications equipment installers and repairers, except line installers","=""49-2022""","Line Item","0.9","0.0","0.5","0.9","0.0","0.6","0.0","2.5","847","4"
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers","=""49-2090""","Summary","2.3","0.0","0.9","2.3","0.0","0.9","0.0","0.9","848","3"
"Avionics technicians","=""49-2091""","Line Item","0.2","0.0","0.9","0.2","0.0","0.8","0.0","1.8","849","4"
"Electrical and electronics installers and repairers, transportation equipment","=""49-2093""","Line Item","0.1","0.0","0.9","0.1","0.0","0.9","0.0","-0.5","851","4"
"Electrical and electronics repairers, commercial and industrial equipment","=""49-2094""","Line Item","1.0","0.0","1.7","1.0","0.0","1.7","0.0","-0.2","852","4"
"Audiovisual equipment installers and repairers","=""49-2097""","Line Item","0.1","0.0","0.5","0.1","0.0","0.5","0.0","2.5","855","4"
"Security and fire alarm systems installers","=""49-2098""","Line Item","0.8","0.0","0.9","0.8","0.0","0.8","0.0","1.4","856","4"
"Vehicle and mobile equipment mechanics, installers, and repairers","=""49-3000""","Summary","16.6","0.1","0.9","16.2","0.1","0.8","-0.4","-2.5","857","2"
"Aircraft mechanics and service technicians","=""49-3011""","Line Item","2.4","0.0","1.7","2.4","0.0","1.6","0.1","2.1","858","3"
"Automotive technicians and repairers","=""49-3020""","Summary","2.8","0.0","0.3","2.9","0.0","0.3","0.1","2.3","859","3"
"Automotive body and related repairers","=""49-3021""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.3","860","4"
"Automotive service technicians and mechanics","=""49-3023""","Line Item","2.7","0.0","0.3","2.8","0.0","0.3","0.1","2.4","862","4"
"Bus and truck mechanics and diesel engine specialists","=""49-3031""","Line Item","10.4","0.1","3.4","9.8","0.1","3.2","-0.6","-5.3","863","3"
"Heavy vehicle and mobile equipment service technicians and mechanics","=""49-3040""","Summary","0.5","0.0","0.2","0.5","0.0","0.2","0.0","3.0","864","3"
"Farm equipment mechanics and service technicians","=""49-3041""","Line Item","0.1","0.0","0.3","0.2","0.0","0.3","0.0","4.8","865","4"
"Mobile heavy equipment mechanics, except engines","=""49-3042""","Line Item","0.3","0.0","0.2","0.3","0.0","0.2","0.0","2.1","866","4"
"Small engine mechanics","=""49-3050""","Summary","0.5","0.0","0.6","0.5","0.0","0.6","0.0","2.1","868","3"
"Outdoor power equipment and other small engine mechanics","=""49-3053""","Line Item","0.4","0.0","0.9","0.4","0.0","0.9","0.0","1.8","871","4"
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","=""49-3090""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","1.8","872","3"
"Bicycle repairers","=""49-3091""","Line Item","0.1","0.0","0.4","0.1","0.0","0.4","0.0","2.7","873","4"
"Other installation, maintenance, and repair occupations","=""49-9000""","Summary","146.2","1.0","4.3","147.4","1.0","4.0","1.2","0.8","876","2"
"Control and valve installers and repairers","=""49-9010""","Summary","0.2","0.0","0.3","0.3","0.0","0.3","0.0","4.3","877","3"
"Control and valve installers and repairers, except mechanical door","=""49-9012""","Line Item","0.2","0.0","0.4","0.2","0.0","0.5","0.0","4.2","879","4"
"Heating, air conditioning, and refrigeration mechanics and installers","=""49-9021""","Line Item","12.7","0.1","2.9","13.0","0.1","2.7","0.3","2.0","880","3"
"Home appliance repairers","=""49-9031""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","-0.1","881","3"
"Industrial machinery mechanics","=""49-9041""","Line Item","0.6","0.0","0.1","0.6","0.0","0.1","0.0","2.5","883","4"
"Maintenance workers, machinery","=""49-9043""","Line Item","0.2","0.0","0.4","0.2","0.0","0.4","0.0","1.9","884","4"
"Line installers and repairers","=""49-9050""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","3.3","887","3"
"Telecommunications line installers and repairers","=""49-9052""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","2.3","889","4"
"Precision instrument and equipment repairers","=""49-9060""","Summary","1.0","0.0","1.2","1.0","0.0","1.0","0.0","0.7","890","3"
"Camera and photographic equipment repairers","=""49-9061""","Line Item","0.1","0.0","5.0","0.1","0.0","4.8","0.0","-20.5","891","4"
"Medical equipment repairers","=""49-9062""","Line Item","0.4","0.0","0.6","0.4","0.0","0.5","0.0","4.3","892","4"
"Musical instrument repairers and tuners","=""49-9063""","Line Item","0.3","0.0","4.8","0.3","0.0","4.9","0.0","2.8","893","4"
"Precision instrument and equipment repairers, all other","=""49-9069""","Line Item","0.2","0.0","1.8","0.2","0.0","1.8","0.0","4.5","895","4"
"Maintenance and repair workers, general","=""49-9071""","Line Item","125.3","0.9","7.8","126.5","0.9","7.5","1.2","1.0","896","3"
"Miscellaneous installation, maintenance, and repair workers","=""49-9090""","Summary","5.7","0.0","1.4","5.4","0.0","1.3","-0.3","-5.6","898","3"
"Coin, vending, and amusement machine servicers and repairers","=""49-9091""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-0.5","899","4"
"Locksmiths and safe repairers","=""49-9094""","Line Item","2.2","0.0","12.3","1.8","0.0","11.2","-0.4","-18.0","901","4"
"Riggers","=""49-9096""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","3.4","903","4"
"Helpers--installation, maintenance, and repair workers","=""49-9098""","Line Item","1.9","0.0","1.8","1.9","0.0","1.8","0.0","1.4","905","4"
"Installation, maintenance, and repair workers, all other","=""49-9099""","Line Item","1.6","0.0","0.8","1.6","0.0","0.8","0.0","2.7","906","4"
"Production occupations","=""51-0000""","Summary","16.5","0.1","0.2","16.7","0.1","0.2","0.2","1.1","907","1"
"Supervisors of production workers","=""51-1000""","Summary","1.5","0.0","0.2","1.6","0.0","0.2","0.0","2.8","908","2"
"First-line supervisors of production and operating workers","=""51-1011""","Line Item","1.5","0.0","0.2","1.6","0.0","0.2","0.0","2.8","909","3"
"Assemblers and fabricators","=""51-2000""","Summary","0.5","0.0","0.0","0.4","0.0","0.0","0.0","-5.2","910","2"
"Aircraft structure, surfaces, rigging, and systems assemblers","=""51-2011""","Line Item","0.2","0.0","0.5","0.1","0.0","0.5","0.0","-18.5","911","3"
"Miscellaneous assemblers and fabricators","=""51-2090""","Line Item","0.3","0.0","0.0","0.3","0.0","0.0","0.0","2.4","919","3"
"Food processing workers","=""51-3000""","Summary","1.2","0.0","0.1","1.3","0.0","0.1","0.0","1.9","920","2"
"Bakers","=""51-3011""","Line Item","1.2","0.0","0.5","1.2","0.0","0.5","0.0","1.9","921","3"
"Metal workers and plastic workers","=""51-4000""","Summary","1.2","0.0","0.1","1.2","0.0","0.1","0.0","1.7","931","2"
"Machinists","=""51-4041""","Line Item","0.7","0.0","0.2","0.7","0.0","0.2","0.0","4.0","942","3"
"Welding, soldering, and brazing workers","=""51-4120""","Summary","0.4","0.0","0.1","0.4","0.0","0.1","0.0","0.4","954","3"
"Welders, cutters, solderers, and brazers","=""51-4121""","Line Item","0.4","0.0","0.1","0.4","0.0","0.1","0.0","1.2","955","4"
"Printing workers","=""51-5100""","Summary","2.0","0.0","0.9","2.1","0.0","1.1","0.0","2.2","963","2"
"Prepress technicians and workers","=""51-5111""","Line Item","0.2","0.0","0.9","0.2","0.0","1.2","0.0","2.8","964","3"
"Printing press operators","=""51-5112""","Line Item","1.6","0.0","1.0","1.6","0.0","1.1","0.0","2.0","965","3"
"Print binding and finishing workers","=""51-5113""","Line Item","0.2","0.0","0.7","0.3","0.0","0.8","0.0","2.9","966","3"
"Textile, apparel, and furnishings workers","=""51-6000""","Summary","1.0","0.0","0.2","1.1","0.0","0.2","0.0","1.1","967","2"
"Laundry and dry-cleaning workers","=""51-6011""","Line Item","0.5","0.0","0.3","0.6","0.0","0.3","0.0","2.5","968","3"
"Sewing machine operators","=""51-6031""","Line Item","0.4","0.0","0.3","0.4","0.0","0.3","0.0","-1.7","970","3"
"Tailors, dressmakers, and sewers","=""51-6050""","Summary","0.1","0.0","0.2","0.1","0.0","0.3","0.0","2.4","974","3"
"Tailors, dressmakers, and custom sewers","=""51-6052""","Line Item","0.1","0.0","0.2","0.1","0.0","0.3","0.0","2.5","976","4"
"Miscellaneous textile, apparel, and furnishings workers","=""51-6090""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","2.5","982","3"
"Upholsterers","=""51-6093""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","2.5","985","4"
"Woodworkers","=""51-7000""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","1.9","987","2"
"Cabinetmakers and bench carpenters","=""51-7011""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","1.4","988","3"
"Plant and system operators","=""51-8000""","Summary","7.7","0.1","2.6","7.8","0.1","2.8","0.1","1.2","997","2"
"Power plant operators, distributors, and dispatchers","=""51-8010""","Summary","1.1","0.0","2.3","1.1","0.0","2.5","0.0","-0.2","998","3"
"Power distributors and dispatchers","=""51-8012""","Line Item","0.1","0.0","1.3","0.1","0.0","1.3","0.0","0.0","1000","4"
"Power plant operators","=""51-8013""","Line Item","0.9","0.0","2.9","0.9","0.0","3.2","0.0","-0.5","1001","4"
"Stationary engineers and boiler operators","=""51-8021""","Line Item","5.9","0.0","16.8","6.1","0.0","16.5","0.1","2.2","1002","3"
"Water and wastewater treatment plant and system operators","=""51-8031""","Line Item","0.5","0.0","0.4","0.5","0.0","0.4","0.0","-7.2","1003","3"
"Miscellaneous plant and system operators","=""51-8090""","Summary","0.1","0.0","0.1","0.1","0.0","0.2","0.0","4.2","1004","3"
"Plant and system operators, all other","=""51-8099""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","3.3","1008","4"
"Other production occupations","=""51-9000""","Summary","1.2","0.0","0.0","1.2","0.0","0.0","0.0","-2.5","1009","2"
"Inspectors, testers, sorters, samplers, and weighers","=""51-9061""","Line Item","0.3","0.0","0.0","0.2","0.0","0.0","0.0","-11.8","1022","3"
"Dental and ophthalmic laboratory technicians and medical appliance technicians","=""51-9080""","Summary","0.2","0.0","0.2","0.2","0.0","0.2","0.0","3.8","1024","3"
"Dental laboratory technicians","=""51-9081""","Line Item","0.1","0.0","0.3","0.1","0.0","0.4","0.0","4.0","1025","4"
"Photographic process workers and processing machine operators","=""51-9151""","Line Item","0.1","0.0","0.7","0.1","0.0","0.7","0.0","3.1","1033","3"
"Computer numerically controlled tool operators and programmers","=""51-9160""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-6.7","1034","3"
"Computer numerically controlled tool operators","=""51-9161""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-7.7","1035","4"
"Miscellaneous production workers","=""51-9190""","Summary","0.3","0.0","0.0","0.3","0.0","0.0","0.0","-2.1","1037","3"
"Molders, shapers, and casters, except metal and plastic","=""51-9195""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","3.5","1042","4"
"Helpers--production workers","=""51-9198""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-7.7","1045","4"
"Production workers, all other","=""51-9199""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","4.3","1046","4"
"Transportation and material moving occupations","=""53-0000""","Summary","243.1","1.7","1.7","242.3","1.7","1.6","-0.8","-0.3","1047","1"
"Supervisors of transportation and material moving workers","=""53-1000""","Summary","7.5","0.1","1.2","7.5","0.1","1.2","0.0","0.1","1048","2"
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors","=""53-1047""","Line Item","7.5","0.1","1.3","7.5","0.1","1.2","0.0","0.1","1050","3"
"Air transportation workers","=""53-2000""","Summary","6.4","0.0","2.0","6.6","0.0","1.9","0.1","2.0","1051","2"
"Aircraft pilots and flight engineers","=""53-2010""","Summary","5.8","0.0","3.8","5.9","0.0","3.7","0.1","1.9","1052","3"
"Airline pilots, copilots, and flight engineers","=""53-2011""","Line Item","0.8","0.0","0.8","0.8","0.0","0.8","0.0","1.9","1053","4"
"Commercial pilots","=""53-2012""","Line Item","5.0","0.0","8.8","5.1","0.0","8.5","0.1","1.9","1054","4"
"Air traffic controllers and airfield operations specialists","=""53-2020""","Summary","0.7","0.0","1.5","0.7","0.0","1.5","0.0","2.2","1055","3"
"Air traffic controllers","=""53-2021""","Line Item","0.2","0.0","1.0","0.2","0.0","1.0","0.0","1.6","1056","4"
"Motor vehicle operators","=""53-3000""","Summary","208.4","1.5","4.3","207.0","1.4","4.0","-1.5","-0.7","1059","2"
"Driver/sales workers and truck drivers","=""53-3030""","Summary","6.3","0.0","0.2","6.4","0.0","0.2","0.0","0.6","1061","3"
"Driver/sales workers","=""53-3031""","Line Item","0.6","0.0","0.1","0.6","0.0","0.1","0.0","0.2","1062","4"
"Heavy and tractor-trailer truck drivers","=""53-3032""","Line Item","2.0","0.0","0.1","2.0","0.0","0.1","0.0","0.1","1063","4"
"Light truck drivers","=""53-3033""","Line Item","3.7","0.0","0.3","3.8","0.0","0.3","0.0","1.0","1064","4"
"Passenger vehicle drivers","=""53-3050""","Summary","201.7","1.4","21.2","200.1","1.4","19.9","-1.5","-0.8","1065","3"
"Bus drivers, school","=""53-3051""","Line Item","194.9","1.4","53.3","193.2","1.3","52.4","-1.6","-0.8","1066","4"
"Bus drivers, transit and intercity","=""53-3052""","Line Item","0.7","0.0","0.3","0.7","0.0","0.3","0.0","4.6","1067","4"
"Shuttle drivers and chauffeurs","=""53-3053""","Line Item","6.1","0.0","2.8","6.2","0.0","2.6","0.1","1.6","1068","4"
"Motor vehicle operators, all other","=""53-3099""","Line Item","0.4","0.0","0.5","0.4","0.0","0.5","0.0","1.5","1070","3"
"Water transportation workers","=""53-5000""","Summary","0.8","0.0","0.9","0.8","0.0","0.9","0.0","4.5","1079","2"
"Sailors and marine oilers","=""53-5011""","Line Item","0.1","0.0","0.4","0.1","0.0","0.4","0.0","4.9","1080","3"
"Ship and boat captains and operators","=""53-5020""","Summary","0.5","0.0","1.3","0.6","0.0","1.3","0.0","4.1","1081","3"
"Captains, mates, and pilots of water vessels","=""53-5021""","Line Item","0.5","0.0","1.2","0.5","0.0","1.2","0.0","4.2","1082","4"
"Motorboat operators","=""53-5022""","Line Item","0.1","0.0","2.3","0.1","0.0","2.3","0.0","3.6","1083","4"
"Ship engineers","=""53-5031""","Line Item","0.1","0.0","1.3","0.1","0.0","1.3","0.0","5.9","1084","3"
"Other transportation workers","=""53-6000""","Summary","3.1","0.0","1.0","3.2","0.0","1.0","0.1","2.2","1085","2"
"Parking attendants","=""53-6021""","Line Item","1.8","0.0","1.5","1.8","0.0","1.4","0.1","3.6","1087","3"
"Transportation service attendants","=""53-6030""","Summary","0.5","0.0","0.4","0.5","0.0","0.4","0.0","1.6","1088","3"
"Automotive and watercraft service attendants","=""53-6031""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.8","1089","4"
"Aircraft service attendants","=""53-6032""","Line Item","0.4","0.0","1.5","0.4","0.0","1.5","0.0","1.8","1090","4"
"Transportation workers, all other","=""53-6099""","Line Item","0.9","0.0","7.5","0.9","0.0","7.1","0.0","-0.4","1094","3"
"Material moving workers","=""53-7000""","Summary","16.8","0.1","0.2","17.2","0.1","0.2","0.4","2.3","1095","2"
"Industrial truck and tractor operators","=""53-7051""","Line Item","0.5","0.0","0.1","0.5","0.0","0.1","0.0","0.6","1100","3"
"Laborers and material movers","=""53-7060""","Summary","15.8","0.1","0.2","16.2","0.1","0.2","0.4","2.3","1101","3"
"Cleaners of vehicles and equipment","=""53-7061""","Line Item","0.5","0.0","0.1","0.5","0.0","0.1","0.0","2.5","1102","4"
"Laborers and freight, stock, and material movers, hand","=""53-7062""","Line Item","10.3","0.1","0.3","10.5","0.1","0.3","0.2","2.3","1103","4"
"Stockers and order fillers","=""53-7065""","Line Item","5.0","0.0","0.2","5.1","0.0","0.2","0.1","2.4","1106","4"
"Refuse and recyclable material collectors","=""53-7081""","Line Item","0.4","0.0","0.3","0.4","0.0","0.3","0.0","3.6","1111","3"
"Material moving workers, all other","=""53-7199""","Line Item","0.1","0.0","0.4","0.1","0.0","0.4","0.0","3.9","1113","3"
