Occupation Title;Occupation Code;Occupation Type;2023 Employment;2023 Percent of Industry;2023 Percent of Occupation;Projected 2033 Employment;Projected 2033 Percent of Industry;Projected 2033 Percent of Occupation;Employment Change, 2023-2033;Employment Percent Change, 2023-2033;Occupation Sort;Display Level;source_file;Industry Title;Industry Code;Industry Type;Industry Sort
Human resources workers;"=""13-1070""";Summary;7.5;0.3;0.7;8.0;0.3;0.7;0.6;7.9;60.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Human resources specialists;"=""13-1071""";Line Item;7.3;0.3;0.8;7.9;0.3;0.8;0.6;7.9;61.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Labor relations specialists;"=""13-1075""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;4.8;63.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Logisticians and project management specialists;"=""13-1080""";Summary;4.3;0.2;0.4;4.6;0.2;0.3;0.4;8.6;64.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Logisticians;"=""13-1081""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;18.0;65.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Project management specialists;"=""13-1082""";Line Item;4.1;0.2;0.4;4.5;0.2;0.4;0.3;8.4;66.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Management analysts;"=""13-1111""";Line Item;0.9;0.0;0.1;1.0;0.0;0.1;0.1;6.1;67.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Meeting, convention, and event planners;"=""13-1121""";Line Item;16.8;0.7;11.3;18.5;0.7;11.6;1.7;10.0;68.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Fundraisers;"=""13-1131""";Line Item;7.2;0.3;5.7;8.0;0.3;6.0;0.8;10.8;69.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Compensation, benefits, and job analysis specialists;"=""13-1141""";Line Item;0.3;0.0;0.2;0.3;0.0;0.3;0.0;7.8;70.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Training and development specialists;"=""13-1151""";Line Item;3.3;0.1;0.8;3.8;0.1;0.8;0.5;14.0;71.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Market research analysts and marketing specialists;"=""13-1161""";Line Item;17.2;0.7;1.9;18.5;0.7;1.9;1.3;7.8;72.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Business operations specialists, all other;"=""13-1199""";Line Item;12.9;0.5;1.1;14.0;0.5;1.1;1.1;8.8;73.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Financial specialists;"=""13-2000""";Summary;15.2;0.6;0.5;16.3;0.6;0.5;1.1;7.3;74.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Accountants and auditors;"=""13-2011""";Line Item;14.3;0.6;0.9;15.4;0.6;0.9;1.1;7.4;75.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Budget analysts;"=""13-2031""";Line Item;0.1;0.0;0.2;0.1;0.0;0.2;0.0;11.3;77.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Financial analysts and advisors;"=""13-2050""";Summary;0.4;0.0;0.1;0.5;0.0;0.0;0.0;5.0;79.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Financial and investment analysts;"=""13-2051""";Line Item;0.3;0.0;0.1;0.3;0.0;0.1;0.0;7.4;80.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Financial risk specialists;"=""13-2054""";Line Item;0.1;0.0;0.2;0.1;0.0;0.2;0.0;-1.6;83.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Financial specialists, all other;"=""13-2099""";Line Item;0.3;0.0;0.3;0.4;0.0;0.3;0.0;5.5;91.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Computer and mathematical occupations;"=""15-0000""";Summary;12.2;0.5;0.2;12.8;0.5;0.2;0.6;5.0;92.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Computer occupations;"=""15-1200""";Summary;11.4;0.5;0.2;11.8;0.4;0.2;0.4;3.6;93.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Computer and information analysts;"=""15-1210""";Summary;0.7;0.0;0.1;0.8;0.0;0.1;0.1;14.1;94.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Computer systems analysts;"=""15-1211""";Line Item;0.5;0.0;0.1;0.5;0.0;0.1;0.0;8.8;95.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Information security analysts;"=""15-1212""";Line Item;0.2;0.0;0.1;0.2;0.0;0.1;0.1;28.5;96.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Computer support specialists;"=""15-1230""";Summary;3.1;0.1;0.4;3.2;0.1;0.3;0.0;1.5;98.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Computer network support specialists;"=""15-1231""";Line Item;0.7;0.0;0.4;0.8;0.0;0.4;0.0;3.0;99.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Computer user support specialists;"=""15-1232""";Line Item;2.4;0.1;0.3;2.4;0.1;0.3;0.0;1.1;100.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Database and network administrators and architects;"=""15-1240""";Summary;2.6;0.1;0.4;2.6;0.1;0.4;0.0;1.0;101.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Computer network architects;"=""15-1241""";Line Item;0.2;0.0;0.1;0.2;0.0;0.1;0.0;13.5;102.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Database administrators;"=""15-1242""";Line Item;0.6;0.0;0.8;0.7;0.0;0.8;0.1;10.2;103.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Database architects;"=""15-1243""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;2.6;104.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Network and computer systems administrators;"=""15-1244""";Line Item;1.7;0.1;0.5;1.7;0.1;0.5;-0.1;-3.5;105.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Software and web developers, programmers, and testers;"=""15-1250""";Summary;4.1;0.2;0.2;4.3;0.2;0.2;0.2;4.1;106.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Computer programmers;"=""15-1251""";Line Item;0.5;0.0;0.3;0.4;0.0;0.3;-0.1;-14.3;107.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Software developers;"=""15-1252""";Line Item;1.3;0.1;0.1;1.4;0.1;0.1;0.1;7.3;108.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Software quality assurance analysts and testers;"=""15-1253""";Line Item;0.3;0.0;0.1;0.3;0.0;0.1;0.0;-5.5;109.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Web developers;"=""15-1254""";Line Item;0.7;0.0;0.8;0.8;0.0;0.8;0.1;9.1;110.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Web and digital interface designers;"=""15-1255""";Line Item;1.3;0.1;1.0;1.4;0.1;1.0;0.1;7.0;111.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Computer occupations, all other;"=""15-1299""";Line Item;0.9;0.0;0.2;1.0;0.0;0.2;0.1;7.2;112.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Mathematical science occupations;"=""15-2000""";Summary;0.8;0.0;0.2;1.0;0.0;0.2;0.2;27.2;113.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Operations research analysts;"=""15-2031""";Line Item;0.2;0.0;0.1;0.2;0.0;0.1;0.0;19.6;116.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Statisticians;"=""15-2041""";Line Item;0.1;0.0;0.2;0.1;0.0;0.2;0.0;10.6;117.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Data scientists;"=""15-2051""";Line Item;0.5;0.0;0.3;0.7;0.0;0.3;0.2;32.0;118.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Architecture and engineering occupations;"=""17-0000""";Summary;1.5;0.1;0.1;1.7;0.1;0.1;0.2;10.4;120.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Architects, surveyors, and cartographers;"=""17-1000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;10.9;121.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Architects, except naval;"=""17-1010""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;10.7;122.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Engineers;"=""17-2000""";Summary;1.1;0.0;0.1;1.3;0.0;0.1;0.1;12.3;128.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Aerospace engineers;"=""17-2011""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.3;129.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Industrial engineers, including health and safety;"=""17-2110""";Summary;0.1;0.0;0.0;0.2;0.0;0.0;0.0;15.9;139.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Industrial engineers;"=""17-2112""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;17.4;141.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Mechanical engineers;"=""17-2141""";Line Item;0.6;0.0;0.2;0.7;0.0;0.2;0.1;14.4;144.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Engineers, all other;"=""17-2199""";Line Item;0.2;0.0;0.1;0.2;0.0;0.1;0.0;8.5;148.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Drafters, engineering technicians, and mapping technicians;"=""17-3000""";Summary;0.3;0.0;0.1;0.4;0.0;0.1;0.0;4.1;149.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Drafters;"=""17-3010""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;-0.5;150.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Drafters, all other;"=""17-3019""";Line Item;0.1;0.0;0.3;0.1;0.0;0.4;0.0;-2.7;154.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Engineering technologists and technicians, except drafters;"=""17-3020""";Summary;0.2;0.0;0.1;0.3;0.0;0.1;0.0;5.6;155.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Electrical and electronic engineering technologists and technicians;"=""17-3023""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;13.7;158.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Mechanical engineering technologists and technicians;"=""17-3027""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;6.6;162.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Life, physical, and social science occupations;"=""19-0000""";Summary;3.5;0.1;0.2;4.0;0.1;0.2;0.5;14.0;166.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Life scientists;"=""19-1000""";Summary;1.6;0.1;0.4;1.8;0.1;0.4;0.2;13.7;167.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Agricultural and food scientists;"=""19-1010""";Summary;0.7;0.0;1.8;0.8;0.0;1.9;0.1;12.9;168.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Animal scientists;"=""19-1011""";Line Item;0.1;0.0;2.0;0.1;0.0;2.2;0.0;14.6;169.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Soil and plant scientists;"=""19-1013""";Line Item;0.6;0.0;3.1;0.7;0.0;3.3;0.1;12.8;171.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Biological scientists;"=""19-1020""";Summary;0.6;0.0;0.4;0.7;0.0;0.5;0.1;14.5;172.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Zoologists and wildlife biologists;"=""19-1023""";Line Item;0.5;0.0;2.9;0.6;0.0;3.2;0.1;14.5;175.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Biological scientists, all other;"=""19-1029""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;14.6;176.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Conservation scientists and foresters;"=""19-1030""";Summary;0.2;0.0;0.6;0.3;0.0;0.6;0.0;14.2;177.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Conservation scientists;"=""19-1031""";Line Item;0.2;0.0;0.8;0.2;0.0;0.9;0.0;14.3;178.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Physical scientists;"=""19-2000""";Summary;0.3;0.0;0.1;0.3;0.0;0.1;0.0;10.6;184.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Astronomers and physicists;"=""19-2010""";Summary;0.2;0.0;0.8;0.2;0.0;0.8;0.0;7.7;185.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Astronomers;"=""19-2011""";Line Item;0.2;0.0;8.2;0.2;0.0;8.2;0.0;7.7;186.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Environmental scientists and geoscientists;"=""19-2040""";Summary;0.1;0.0;0.1;0.1;0.0;0.1;0.0;15.5;192.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Environmental scientists and specialists, including health;"=""19-2041""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;15.6;193.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Social scientists and related workers;"=""19-3000""";Summary;0.6;0.0;0.2;0.6;0.0;0.2;0.1;12.5;197.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous social scientists and related workers;"=""19-3090""";Summary;0.3;0.0;0.6;0.4;0.0;0.6;0.0;14.0;207.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Anthropologists and archeologists;"=""19-3091""";Line Item;0.2;0.0;2.3;0.2;0.0;2.5;0.0;14.6;208.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Historians;"=""19-3093""";Line Item;0.1;0.0;2.8;0.1;0.0;3.0;0.0;14.3;210.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Life, physical, and social science technicians;"=""19-4000""";Summary;0.6;0.0;0.1;0.7;0.0;0.2;0.1;14.2;213.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Biological technicians;"=""19-4021""";Line Item;0.1;0.0;0.2;0.2;0.0;0.2;0.0;14.6;217.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Forest and conservation technicians;"=""19-4071""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;12.6;225.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous life, physical, and social science technicians;"=""19-4090""";Summary;0.2;0.0;0.2;0.3;0.0;0.3;0.0;14.6;226.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Life, physical, and social science technicians, all other;"=""19-4099""";Line Item;0.2;0.0;0.3;0.3;0.0;0.3;0.0;14.6;228.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Occupational health and safety specialists and technicians;"=""19-5000""";Summary;0.4;0.0;0.3;0.5;0.0;0.3;0.1;19.0;229.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Occupational health and safety specialists;"=""19-5011""";Line Item;0.4;0.0;0.3;0.5;0.0;0.3;0.1;19.9;230.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Community and social service occupations;"=""21-0000""";Summary;2.3;0.1;0.1;2.6;0.1;0.1;0.3;11.1;232.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Counselors, social workers, and other community and social service specialists;"=""21-1000""";Summary;2.3;0.1;0.1;2.6;0.1;0.1;0.3;11.1;233.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Counselors;"=""21-1010""";Summary;0.7;0.0;0.1;0.8;0.0;0.1;0.1;8.7;234.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Educational, guidance, and career counselors and advisors;"=""21-1012""";Line Item;0.4;0.0;0.1;0.4;0.0;0.1;0.0;7.1;235.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous community and social service specialists;"=""21-1090""";Summary;1.6;0.1;0.2;1.7;0.1;0.2;0.2;12.3;245.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Health education specialists;"=""21-1091""";Line Item;0.4;0.0;0.6;0.4;0.0;0.6;0.0;11.1;246.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Social and human service assistants;"=""21-1093""";Line Item;0.4;0.0;0.1;0.5;0.0;0.1;0.0;10.6;248.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Community health workers;"=""21-1094""";Line Item;0.4;0.0;0.6;0.4;0.0;0.6;0.1;15.3;249.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Community and social service specialists, all other;"=""21-1099""";Line Item;0.4;0.0;0.4;0.4;0.0;0.4;0.0;12.3;250.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Legal occupations;"=""23-0000""";Summary;1.0;0.0;0.1;1.0;0.0;0.1;0.1;6.9;255.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Lawyers, judges, and related workers;"=""23-1000""";Summary;0.9;0.0;0.1;0.9;0.0;0.1;0.1;7.3;256.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Lawyers and judicial law clerks;"=""23-1010""";Summary;0.9;0.0;0.1;0.9;0.0;0.1;0.1;7.3;257.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Lawyers;"=""23-1011""";Line Item;0.9;0.0;0.1;0.9;0.0;0.1;0.1;7.3;258.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Legal support workers;"=""23-2000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;2.9;264.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Paralegals and legal assistants;"=""23-2011""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;2.9;265.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Educational instruction and library occupations;"=""25-0000""";Summary;59.9;2.4;0.6;66.7;2.5;0.7;6.8;11.3;269.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Postsecondary teachers;"=""25-1000""";Summary;0.2;0.0;0.0;0.2;0.0;0.0;0.0;7.9;270.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Arts, communications, history, and humanities teachers, postsecondary;"=""25-1120""";Summary;0.2;0.0;0.1;0.2;0.0;0.1;0.0;6.3;306.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Art, drama, and music teachers, postsecondary;"=""25-1121""";Line Item;0.2;0.0;0.1;0.2;0.0;0.1;0.0;7.4;307.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Preschool, elementary, middle, secondary, and special education teachers;"=""25-2000""";Summary;3.0;0.1;0.1;3.3;0.1;0.1;0.3;10.8;318.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Preschool and kindergarten teachers;"=""25-2010""";Summary;2.9;0.1;0.4;3.2;0.1;0.5;0.3;10.9;319.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Preschool teachers, except special education;"=""25-2011""";Line Item;2.9;0.1;0.5;3.2;0.1;0.6;0.3;10.9;320.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Secondary school teachers;"=""25-2030""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;9.0;326.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Secondary school teachers, except special and career/technical education;"=""25-2031""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;8.8;327.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Other teachers and instructors;"=""25-3000""";Summary;35.8;1.4;2.9;39.3;1.5;3.1;3.6;10.0;335.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Self-enrichment teachers;"=""25-3021""";Line Item;34.1;1.4;9.2;37.5;1.4;9.8;3.4;10.0;337.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Substitute teachers, short-term;"=""25-3031""";Line Item;0.1;0.0;0.0;0.2;0.0;0.0;0.0;11.4;338.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Tutors;"=""25-3041""";Line Item;0.9;0.0;0.4;0.9;0.0;0.5;0.1;6.5;339.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Teachers and instructors, all other;"=""25-3099""";Line Item;0.7;0.0;0.5;0.8;0.0;0.5;0.1;11.8;340.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Librarians, curators, and archivists;"=""25-4000""";Summary;17.1;0.7;6.5;19.5;0.7;7.4;2.4;14.1;341.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Archivists, curators, and museum technicians;"=""25-4010""";Summary;15.9;0.6;42.4;18.2;0.7;43.8;2.3;14.2;342.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Archivists;"=""25-4011""";Line Item;1.2;0.0;13.8;1.4;0.1;14.5;0.2;13.7;343.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Curators;"=""25-4012""";Line Item;7.3;0.3;51.2;8.3;0.3;52.2;1.1;14.6;344.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Museum technicians and conservators;"=""25-4013""";Line Item;7.4;0.3;51.3;8.4;0.3;52.8;1.0;14.0;345.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Librarians and media collections specialists;"=""25-4022""";Line Item;1.0;0.0;0.7;1.2;0.0;0.8;0.1;11.4;346.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Library technicians;"=""25-4031""";Line Item;0.1;0.0;0.2;0.2;0.0;0.2;0.0;14.2;347.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Other educational instruction and library occupations;"=""25-9000""";Summary;3.9;0.2;0.2;4.4;0.2;0.2;0.5;11.7;348.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Instructional coordinators;"=""25-9031""";Line Item;2.1;0.1;0.9;2.3;0.1;1.0;0.2;11.7;350.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Teaching assistants;"=""25-9040""";Summary;1.2;0.0;0.1;1.4;0.1;0.1;0.1;10.7;351.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Teaching assistants, except postsecondary;"=""25-9045""";Line Item;1.2;0.0;0.1;1.4;0.1;0.1;0.1;10.7;353.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Educational instruction and library workers, all other;"=""25-9099""";Line Item;0.5;0.0;0.4;0.6;0.0;0.5;0.1;14.3;354.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Arts, design, entertainment, sports, and media occupations;"=""27-0000""";Summary;251.9;10.0;8.2;269.8;10.1;8.4;17.9;7.1;355.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Art and design workers;"=""27-1000""";Summary;22.2;0.9;2.3;23.5;0.9;2.4;1.3;6.0;356.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Artists and related workers;"=""27-1010""";Summary;11.9;0.5;4.7;12.4;0.5;4.7;0.5;4.2;357.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Art directors;"=""27-1011""";Line Item;2.5;0.1;2.0;2.7;0.1;2.1;0.2;7.8;358.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Craft artists;"=""27-1012""";Line Item;1.9;0.1;13.3;1.9;0.1;13.1;0.0;1.0;359.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Fine artists, including painters, sculptors, and illustrators;"=""27-1013""";Line Item;4.9;0.2;18.5;5.0;0.2;18.3;0.1;2.9;360.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Special effects artists and animators;"=""27-1014""";Line Item;2.1;0.1;2.8;2.2;0.1;2.9;0.1;6.3;361.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Artists and related workers, all other;"=""27-1019""";Line Item;0.5;0.0;3.5;0.5;0.0;3.4;0.0;3.1;362.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Designers;"=""27-1020""";Summary;10.3;0.4;1.5;11.2;0.4;1.5;0.8;8.0;363.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Commercial and industrial designers;"=""27-1021""";Line Item;0.2;0.0;0.5;0.2;0.0;0.5;0.0;6.9;364.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Fashion designers;"=""27-1022""";Line Item;0.8;0.0;3.8;0.9;0.0;4.1;0.1;12.6;365.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Floral designers;"=""27-1023""";Line Item;0.3;0.0;0.6;0.3;0.0;0.6;0.0;0.7;366.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Graphic designers;"=""27-1024""";Line Item;4.2;0.2;1.6;4.5;0.2;1.7;0.3;8.0;367.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Merchandise displayers and window trimmers;"=""27-1026""";Line Item;0.3;0.0;0.1;0.3;0.0;0.2;0.0;8.0;369.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Set and exhibit designers;"=""27-1027""";Line Item;4.2;0.2;14.2;4.6;0.2;14.6;0.3;8.1;370.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Designers, all other;"=""27-1029""";Line Item;0.3;0.0;1.1;0.3;0.0;1.1;0.0;4.0;371.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Entertainers and performers, sports and related workers;"=""27-2000""";Summary;184.8;7.3;20.6;199.3;7.5;20.9;14.4;7.8;372.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Actors, producers, and directors;"=""27-2010""";Summary;44.6;1.8;18.3;46.8;1.8;17.9;2.2;4.8;373.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Actors;"=""27-2011""";Line Item;24.3;1.0;31.9;25.2;0.9;31.7;0.9;3.6;374.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Producers and directors;"=""27-2012""";Line Item;20.3;0.8;12.1;21.6;0.8;11.9;1.3;6.3;375.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Athletes, coaches, umpires, and related workers;"=""27-2020""";Summary;91.7;3.6;25.8;102.5;3.8;26.5;10.8;11.8;376.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Athletes and sports competitors;"=""27-2021""";Line Item;18.2;0.7;72.7;19.2;0.7;69.1;1.0;5.6;377.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Coaches and scouts;"=""27-2022""";Line Item;65.9;2.6;21.5;75.1;2.8;22.5;9.2;14.0;378.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Umpires, referees, and other sports officials;"=""27-2023""";Line Item;7.6;0.3;32.8;8.1;0.3;31.9;0.6;7.4;379.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Dancers and choreographers;"=""27-2030""";Summary;8.6;0.3;41.9;9.2;0.3;42.1;0.6;6.7;380.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Dancers;"=""27-2031""";Line Item;6.8;0.3;44.8;7.3;0.3;44.9;0.5;6.7;381.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Choreographers;"=""27-2032""";Line Item;1.8;0.1;33.6;1.9;0.1;34.1;0.1;6.8;382.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Musicians, singers, and related workers;"=""27-2040""";Summary;27.4;1.1;12.5;27.8;1.0;12.4;0.3;1.2;383.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Music directors and composers;"=""27-2041""";Line Item;4.4;0.2;8.7;4.4;0.2;8.5;0.0;0.5;384.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Musicians and singers;"=""27-2042""";Line Item;23.1;0.9;13.6;23.4;0.9;13.5;0.3;1.3;385.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous entertainers and performers, sports and related workers;"=""27-2090""";Summary;12.5;0.5;22.0;13.0;0.5;21.5;0.6;4.5;386.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Disc jockeys, except radio;"=""27-2091""";Line Item;3.8;0.2;18.2;3.9;0.1;17.7;0.1;2.2;387.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Entertainers and performers, sports and related workers, all other;"=""27-2099""";Line Item;8.6;0.3;24.2;9.1;0.3;23.8;0.5;5.5;388.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Media and communication workers;"=""27-3000""";Summary;20.6;0.8;2.5;21.9;0.8;2.6;1.3;6.1;389.0;2;National_Employment_Matrix_IND_710000.csv;;;;
