occupation_title;occupation_code;2023_employment;projected_2033_employment;employment_percent_change_2023-2033;employment_change_2023-2033
Public relations specialists;"=""27-3031""";9.4;10.2;8.6;0.8
Writers and editors;"=""27-3040""";7.6;7.8;2.6;0.2
Technical writers;"=""27-3042""";0.4;0.4;-2.6;0.0
Writers and authors;"=""27-3043""";6.1;6.3;2.5;0.2
Miscellaneous media and communication workers;"=""27-3090""";1.7;1.8;9.0;0.2
Interpreters and translators;"=""27-3091""";0.3;0.3;13.9;0.0
Media and communication workers, all other;"=""27-3099""";1.4;1.5;8.0;0.1
Media and communication equipment workers;"=""27-4000""";24.2;25.1;3.8;0.9
Broadcast, sound, and lighting technicians;"=""27-4010""";17.3;18.0;4.2;0.7
Audio and video technicians;"=""27-4011""";9.5;10.3;8.3;0.8
Broadcast technicians;"=""27-4012""";2.4;2.5;1.7;0.0
Sound engineering technicians;"=""27-4014""";2.2;2.3;2.6;0.1
Lighting technicians;"=""27-4015""";3.2;3.0;-5.3;-0.2
Photographers;"=""27-4021""";3.7;3.8;2.7;0.1
Television, video, and film camera operators and editors;"=""27-4030""";2.7;2.8;2.8;0.1
Camera operators, television, video, and film;"=""27-4031""";1.2;1.2;1.2;0.0
Film and video editors;"=""27-4032""";1.5;1.6;3.9;0.1
Media and communication equipment workers, all other;"=""27-4099""";0.5;0.5;7.1;0.0
Healthcare practitioners and technical occupations;"=""29-0000""";6.9;7.4;7.3;0.5
Healthcare diagnosing or treating practitioners;"=""29-1000""";1.8;2.0;9.3;0.2
Dietitians and nutritionists;"=""29-1031""";0.6;0.6;9.5;0.1
Therapists;"=""29-1120""";0.6;0.7;8.9;0.1
Physical therapists;"=""29-1123""";0.5;0.5;8.5;0.0
Veterinarians;"=""29-1131""";0.3;0.4;11.8;0.0
Registered nurses;"=""29-1141""";0.2;0.2;8.7;0.0
Physicians;"=""29-1210""";0.1;0.1;5.4;0.0
Physicians, all other;"=""29-1229""";0.1;0.1;5.3;0.0
Health technologists and technicians;"=""29-2000""";2.5;2.6;6.5;0.2
Emergency medical technicians and paramedics;"=""29-2040""";2.1;2.2;5.4;0.1
Emergency medical technicians;"=""29-2042""";1.7;1.8;5.3;0.1
Paramedics;"=""29-2043""";0.4;0.5;5.8;0.0
Health practitioner support technologists and technicians;"=""29-2050""";0.3;0.4;13.4;0.0
Veterinary technologists and technicians;"=""29-2056""";0.2;0.2;14.4;0.0
Other healthcare practitioners and technical occupations;"=""29-9000""";2.6;2.8;6.7;0.2
Miscellaneous health practitioners and technical workers;"=""29-9090""";2.6;2.8;6.7;0.2
Athletic trainers;"=""29-9091""";2.5;2.7;6.6;0.2
Healthcare support occupations;"=""31-0000""";4.7;5.2;10.1;0.5
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides";"=""31-1100""";0.4;0.4;6.9;0.0
Home health and personal care aides;"=""31-1120""";0.4;0.4;6.9;0.0
Occupational therapy and physical therapist assistants and aides;"=""31-2000""";0.1;0.1;5.1;0.0
Physical therapist assistants and aides;"=""31-2020""";0.1;0.1;4.7;0.0
Physical therapist assistants;"=""31-2021""";0.1;0.1;9.3;0.0
Other healthcare support occupations;"=""31-9000""";4.3;4.7;10.5;0.4
Massage therapists;"=""31-9011""";4.0;4.5;10.4;0.4
Miscellaneous healthcare support occupations;"=""31-9090""";0.2;0.3;11.8;0.0
Veterinary assistants and laboratory animal caretakers;"=""31-9096""";0.1;0.1;13.4;0.0
Healthcare support workers, all other;"=""31-9099""";0.2;0.2;11.3;0.0
Protective service occupations;"=""33-0000""";93.3;97.0;4.0;3.8
Supervisors of protective service workers;"=""33-1000""";5.8;6.0;3.1;0.2
Miscellaneous first-line supervisors, protective service workers;"=""33-1090""";5.8;6.0;3.1;0.2
First-line supervisors of security workers;"=""33-1091""";4.2;4.2;1.1;0.0
First-line supervisors of protective service workers, all other;"=""33-1099""";1.6;1.7;8.3;0.1
Firefighting and prevention workers;"=""33-2000""";0.1;0.1;5.7;0.0
Firefighters;"=""33-2011""";0.1;0.1;5.5;0.0
Law enforcement workers;"=""33-3000""";0.2;0.2;3.1;0.0
Parking enforcement workers;"=""33-3041""";0.2;0.2;1.6;0.0
Other protective service workers;"=""33-9000""";87.2;90.8;4.1;3.6
Security guards and gambling surveillance officers;"=""33-9030""";43.8;43.1;-1.6;-0.7
Gambling surveillance officers and gambling investigators;"=""33-9031""";2.5;2.3;-8.1;-0.2
Security guards;"=""33-9032""";41.3;40.8;-1.2;-0.5
Miscellaneous protective service workers;"=""33-9090""";43.3;47.6;9.8;4.3
Lifeguards, ski patrol, and other recreational protective service workers;"=""33-9092""";42.2;46.3;9.9;4.2
Protective service workers, all other;"=""33-9099""";1.1;1.2;7.8;0.1
Food preparation and serving related occupations;"=""35-0000""";322.6;345.9;7.2;23.3
Supervisors of food preparation and serving workers;"=""35-1000""";30.1;32.5;8.0;2.4
Chefs and head cooks;"=""35-1011""";11.5;12.7;10.7;1.2
First-line supervisors of food preparation and serving workers;"=""35-1012""";18.6;19.8;6.3;1.2
Cooks and food preparation workers;"=""35-2000""";65.8;71.8;9.2;6.0
Cooks;"=""35-2010""";56.6;61.9;9.5;5.4
Cooks, fast food;"=""35-2011""";2.2;2.4;5.1;0.1
Cooks, institution and cafeteria;"=""35-2012""";3.4;3.7;6.8;0.2
Cooks, restaurant;"=""35-2014""";43.2;47.7;10.4;4.5
Cooks, short order;"=""35-2015""";6.6;7.1;7.2;0.5
Cooks, all other;"=""35-2019""";1.1;1.2;6.8;0.1
Food preparation workers;"=""35-2021""";9.2;9.8;7.0;0.6
Food and beverage serving workers;"=""35-3000""";183.8;196.0;6.6;12.1
Bartenders;"=""35-3011""";48.4;51.3;6.0;2.9
Fast food and counter workers;"=""35-3023""";36.8;39.9;8.2;3.0
Waiters and waitresses;"=""35-3031""";90.4;96.2;6.3;5.7
Food servers, nonrestaurant;"=""35-3041""";8.2;8.7;5.9;0.5
Other food preparation and serving related workers;"=""35-9000""";43.0;45.7;6.3;2.7
Dining room and cafeteria attendants and bartender helpers;"=""35-9011""";16.3;17.3;6.4;1.0
Dishwashers;"=""35-9021""";13.9;14.8;6.1;0.9
Hosts and hostesses, restaurant, lounge, and coffee shop;"=""35-9031""";10.6;11.3;6.5;0.7
Food preparation and serving related workers, all other;"=""35-9099""";2.2;2.3;6.2;0.1
Building and grounds cleaning and maintenance occupations;"=""37-0000""";173.5;186.5;7.5;13.0
Supervisors of building and grounds cleaning and maintenance workers;"=""37-1000""";15.6;16.7;7.2;1.1
First-line supervisors of housekeeping and janitorial workers;"=""37-1011""";3.2;3.4;6.8;0.2
First-line supervisors of landscaping, lawn service, and groundskeeping workers;"=""37-1012""";12.3;13.2;7.3;0.9
Building cleaning and pest control workers;"=""37-2000""";53.9;58.2;8.1;4.3
Building cleaning workers;"=""37-2010""";53.8;58.1;8.1;4.3
Janitors and cleaners, except maids and housekeeping cleaners;"=""37-2011""";45.8;49.6;8.4;3.8
Maids and housekeeping cleaners;"=""37-2012""";7.8;8.2;6.1;0.5
Building cleaning workers, all other;"=""37-2019""";0.2;0.2;7.9;0.0
Pest control workers;"=""37-2021""";0.1;0.1;8.6;0.0
Grounds maintenance workers;"=""37-3000""";104.0;111.5;7.2;7.5
Landscaping and groundskeeping workers;"=""37-3011""";102.4;109.8;7.2;7.4
Pesticide handlers, sprayers, and applicators, vegetation;"=""37-3012""";0.6;0.6;6.7;0.0
Tree trimmers and pruners;"=""37-3013""";0.1;0.1;10.8;0.0
Grounds maintenance workers, all other;"=""37-3019""";1.0;1.1;7.5;0.1
Personal care and service occupations;"=""39-0000""";737.2;784.2;6.4;47.0
Supervisors of personal care and service workers;"=""39-1000""";56.2;60.1;7.0;3.9
First-line supervisors of entertainment and recreation workers;"=""39-1010""";46.8;49.8;6.4;3.0
First-line supervisors of gambling services workers;"=""39-1013""";6.4;5.9;-8.4;-0.5
First-line supervisors of entertainment and recreation workers, except gambling services;"=""39-1014""";40.4;43.9;8.8;3.5
First-line supervisors of personal service workers;"=""39-1022""";9.4;10.4;9.8;0.9
Animal care and service workers;"=""39-2000""";23.8;25.9;8.8;2.1
Animal trainers;"=""39-2011""";3.4;3.6;6.2;0.2
Animal caretakers;"=""39-2021""";20.4;22.3;9.2;1.9
Entertainment attendants and related workers;"=""39-3000""";362.8;372.2;2.6;9.4
Gambling services workers;"=""39-3010""";36.5;33.5;-8.1;-2.9
Gambling dealers;"=""39-3011""";25.0;22.9;-8.4;-2.1
Gambling and sports book writers and runners;"=""39-3012""";5.9;5.5;-8.1;-0.5
Gambling service workers, all other;"=""39-3019""";5.6;5.2;-6.6;-0.4
Motion picture projectionists;"=""39-3021""";0.3;0.4;11.7;0.0
Ushers, lobby attendants, and ticket takers;"=""39-3031""";36.9;37.5;1.7;0.6
Miscellaneous entertainment attendants and related workers;"=""39-3090""";289.2;300.8;4.0;11.7
Amusement and recreation attendants;"=""39-3091""";276.1;286.9;3.9;10.8
Costume attendants;"=""39-3092""";2.9;3.1;6.6;0.2
Locker room, coatroom, and dressing room attendants;"=""39-3093""";6.4;6.9;7.6;0.5
Entertainment attendants and related workers, all other;"=""39-3099""";3.7;3.9;6.6;0.2
Personal appearance workers;"=""39-5000""";2.4;2.6;9.5;0.2
Barbers, hairdressers, hairstylists and cosmetologists;"=""39-5010""";0.8;0.8;9.1;0.1
Hairdressers, hairstylists, and cosmetologists;"=""39-5012""";0.8;0.8;9.1;0.1
Miscellaneous personal appearance workers;"=""39-5090""";1.6;1.8;9.7;0.2
Makeup artists, theatrical and performance;"=""39-5091""";0.4;0.4;8.3;0.0
Manicurists and pedicurists;"=""39-5092""";0.4;0.4;9.6;0.0
Skincare specialists;"=""39-5094""";0.8;0.9;10.4;0.1
Baggage porters, bellhops, and concierges;"=""39-6000""";2.3;2.4;6.8;0.2
Baggage porters and bellhops;"=""39-6011""";0.7;0.8;6.0;0.0
Concierges;"=""39-6012""";1.6;1.7;7.2;0.1
Tour and travel guides;"=""39-7000""";24.9;27.7;11.6;2.9
Tour and travel guides;"=""39-7010""";24.9;27.7;11.6;2.9
Other personal care and service workers;"=""39-9000""";264.8;293.1;10.7;28.3
Childcare workers;"=""39-9011""";28.6;31.7;10.9;3.1
Recreation and fitness workers;"=""39-9030""";234.1;259.1;10.7;25.0
Exercise trainers and group fitness instructors;"=""39-9031""";199.5;221.5;11.0;22.0
Recreation workers;"=""39-9032""";34.6;37.6;8.6;3.0
Personal care and service workers, all other;"=""39-9099""";2.1;2.3;8.0;0.2
Sales and related occupations;"=""41-0000""";168.8;172.8;2.3;3.9
Supervisors of sales workers;"=""41-1000""";12.7;13.5;6.9;0.9
First-line supervisors of retail sales workers;"=""41-1011""";11.3;12.0;6.7;0.8
First-line supervisors of non-retail sales workers;"=""41-1012""";1.4;1.5;8.6;0.1
Retail sales workers;"=""41-2000""";122.8;124.0;0.9;1.1
Cashiers;"=""41-2010""";60.0;56.1;-6.5;-3.9
Cashiers;"=""41-2011""";53.0;50.0;-5.7;-3.0
Gambling change persons and booth cashiers;"=""41-2012""";7.0;6.1;-12.4;-0.9
Counter and rental clerks and parts salespersons;"=""41-2020""";13.4;14.4;7.8;1.0
Counter and rental clerks;"=""41-2021""";13.0;14.0;7.9;1.0
Parts salespersons;"=""41-2022""";0.4;0.4;6.1;0.0
Retail salespersons;"=""41-2031""";49.4;53.4;8.1;4.0
Sales representatives, services;"=""41-3000""";29.4;31.2;5.9;1.7
Advertising sales agents;"=""41-3011""";0.7;0.6;-4.2;0.0
Travel agents;"=""41-3041""";1.1;1.2;7.5;0.1
Sales representatives of services, except advertising, insurance, financial services, and travel;"=""41-3091""";27.6;29.3;6.1;1.7
Sales representatives, wholesale and manufacturing;"=""41-4000""";0.9;0.9;1.9;0.0
Sales representatives, wholesale and manufacturing, technical and scientific products;"=""41-4011""";0.1;0.1;-2.4;0.0
Sales representatives, wholesale and manufacturing, except technical and scientific products;"=""41-4012""";0.8;0.8;2.4;0.0
Other sales and related workers;"=""41-9000""";3.0;3.2;6.5;0.2
Models, demonstrators, and product promoters;"=""41-9010""";0.6;0.7;9.3;0.1
Demonstrators and product promoters;"=""41-9011""";0.5;0.6;10.5;0.1
Real estate brokers and sales agents;"=""41-9020""";0.1;0.1;7.8;0.0
Real estate sales agents;"=""41-9022""";0.1;0.1;7.5;0.0
Miscellaneous sales and related workers;"=""41-9090""";2.1;2.2;7.1;0.1
Door-to-door sales workers, news and street vendors, and related workers;"=""41-9091""";0.2;0.3;7.3;0.0
Sales and related workers, all other;"=""41-9099""";1.8;2.0;7.0;0.1
Office and administrative support occupations;"=""43-0000""";243.2;241.8;-0.6;-1.4
Supervisors of office and administrative support workers;"=""43-1000""";17.0;16.6;-2.3;-0.4
First-line supervisors of office and administrative support workers;"=""43-1011""";17.0;16.6;-2.3;-0.4
Communications equipment operators;"=""43-2000""";0.4;0.3;-23.9;-0.1
Switchboard operators, including answering service;"=""43-2011""";0.4;0.3;-25.6;-0.1
Financial clerks;"=""43-3000""";30.5;29.0;-5.0;-1.5
Bill and account collectors;"=""43-3011""";0.5;0.5;-2.7;0.0
Billing and posting clerks;"=""43-3021""";0.7;0.6;-5.5;0.0
Bookkeeping, accounting, and auditing clerks;"=""43-3031""";23.6;22.8;-3.4;-0.8
Gambling cage workers;"=""43-3041""";3.9;3.4;-12.5;-0.5
Payroll and timekeeping clerks;"=""43-3051""";1.3;1.1;-13.2;-0.2
Procurement clerks;"=""43-3061""";0.3;0.3;-2.9;0.0
Financial clerks, all other;"=""43-3099""";0.3;0.3;-1.4;0.0
Information and record clerks;"=""43-4000""";125.7;126.4;0.6;0.7
Customer service representatives;"=""43-4051""";58.7;58.0;-1.3;-0.8
File clerks;"=""43-4071""";0.2;0.2;-10.9;0.0
Hotel, motel, and resort desk clerks;"=""43-4081""";3.0;3.2;7.6;0.2
Interviewers, except eligibility and loan;"=""43-4111""";0.3;0.2;-2.4;0.0
Library assistants, clerical;"=""43-4121""";0.1;0.1;13.8;0.0
Order clerks;"=""43-4151""";0.1;0.1;-15.2;0.0
Human resources assistants, except payroll and timekeeping;"=""43-4161""";0.9;0.9;-3.0;0.0
Receptionists and information clerks;"=""43-4171""";59.7;60.8;1.9;1.1
Reservation and transportation ticket agents and travel clerks;"=""43-4181""";1.9;2.1;7.4;0.1
Information and record clerks, all other;"=""43-4199""";0.7;0.7;8.5;0.1
Material recording, scheduling, dispatching, and distributing workers;"=""43-5000""";5.0;5.2;2.8;0.1
Couriers and messengers;"=""43-5021""";0.1;0.2;8.7;0.0
Dispatchers;"=""43-5030""";0.4;0.4;2.4;0.0
Dispatchers, except police, fire, and ambulance;"=""43-5032""";0.4;0.4;1.9;0.0
Production, planning, and expediting clerks;"=""43-5061""";2.4;2.6;9.0;0.2
Shipping, receiving, and inventory clerks;"=""43-5071""";2.0;1.9;-4.9;-0.1
Secretaries and administrative assistants;"=""43-6000""";28.5;29.3;3.0;0.9
Executive secretaries and executive administrative assistants;"=""43-6011""";5.7;5.9;2.6;0.1
Secretaries and administrative assistants, except legal, medical, and executive;"=""43-6014""";22.7;23.4;3.2;0.7
Other office and administrative support workers;"=""43-9000""";36.1;34.9;-3.2;-1.2
Data entry and information processing workers;"=""43-9020""";0.8;0.6;-25.6;-0.2
Data entry keyers;"=""43-9021""";0.8;0.6;-25.5;-0.2
Mail clerks and mail machine operators, except postal service;"=""43-9051""";0.4;0.4;-1.1;0.0
Office clerks, general;"=""43-9061""";33.5;32.6;-2.7;-0.9
Statistical assistants;"=""43-9111""";0.1;0.1;-0.6;0.0
Office and administrative support workers, all other;"=""43-9199""";1.3;1.2;-3.2;0.0
Farming, fishing, and forestry occupations;"=""45-0000""";3.9;4.1;3.7;0.1
Supervisors of farming, fishing, and forestry workers;"=""45-1000""";0.5;0.6;8.6;0.0
First-line supervisors of farming, fishing, and forestry workers;"=""45-1011""";0.5;0.6;8.6;0.0
Agricultural workers;"=""45-2000""";2.9;2.9;2.5;0.1
Animal breeders;"=""45-2021""";0.1;0.1;14.6;0.0
Miscellaneous agricultural workers;"=""45-2090""";2.8;2.9;2.2;0.1
Farmworkers and laborers, crop, nursery, and greenhouse;"=""45-2092""";1.0;1.0;4.3;0.0
Farmworkers, farm, ranch, and aquacultural animals;"=""45-2093""";1.8;1.8;1.0;0.0
Fishing and hunting workers;"=""45-3000""";0.3;0.4;7.3;0.0
Fishing and hunting workers;"=""45-3031""";0.3;0.4;7.3;0.0
Forest, conservation, and logging workers;"=""45-4000""";0.2;0.2;3.1;0.0
Forest and conservation workers;"=""45-4011""";0.2;0.2;3.1;0.0
Construction and extraction occupations;"=""47-0000""";9.7;10.5;8.2;0.8
Supervisors of construction and extraction workers;"=""47-1000""";0.7;0.7;9.1;0.1
First-line supervisors of construction trades and extraction workers;"=""47-1011""";0.7;0.7;9.1;0.1
Construction trades workers;"=""47-2000""";8.7;9.4;8.1;0.7
Carpenters;"=""47-2031""";3.6;3.9;8.0;0.3
Construction laborers;"=""47-2061""";0.5;0.6;8.7;0.0
Construction equipment operators;"=""47-2070""";0.7;0.7;6.7;0.0
Operating engineers and other construction equipment operators;"=""47-2073""";0.7;0.7;6.6;0.0
Electricians;"=""47-2111""";2.3;2.5;8.5;0.2
Painters and paperhangers;"=""47-2140""";0.9;1.0;8.2;0.1
Painters, construction and maintenance;"=""47-2141""";0.9;1.0;8.2;0.1
Pipelayers, plumbers, pipefitters, and steamfitters;"=""47-2150""";0.5;0.6;8.8;0.0
Plumbers, pipefitters, and steamfitters;"=""47-2152""";0.5;0.6;8.8;0.0
Helpers, construction trades;"=""47-3000""";0.1;0.1;7.1;0.0
Helpers--carpenters;"=""47-3012""";0.1;0.1;6.9;0.0
Other construction and related workers;"=""47-4000""";0.3;0.3;7.0;0.0
Construction and building inspectors;"=""47-4011""";0.1;0.1;3.1;0.0
Miscellaneous construction and related workers;"=""47-4090""";0.1;0.1;8.0;0.0
Installation, maintenance, and repair occupations;"=""49-0000""";91.7;98.0;6.9;6.3
Supervisors of installation, maintenance, and repair workers;"=""49-1000""";8.4;9.0;7.4;0.6
First-line supervisors of mechanics, installers, and repairers;"=""49-1011""";8.4;9.0;7.4;0.6
Electrical and electronic equipment mechanics, installers, and repairers;"=""49-2000""";1.0;1.1;7.2;0.1
Computer, automated teller, and office machine repairers;"=""49-2011""";0.1;0.1;-3.6;0.0
Miscellaneous electrical and electronic equipment mechanics, installers, and repairers;"=""49-2090""";0.9;1.0;8.3;0.1
Electric motor, power tool, and related repairers;"=""49-2092""";0.4;0.4;7.4;0.0
Electrical and electronics installers and repairers, transportation equipment;"=""49-2093""";0.3;0.3;7.8;0.0
Audiovisual equipment installers and repairers;"=""49-2097""";0.2;0.2;11.6;0.0
Vehicle and mobile equipment mechanics, installers, and repairers;"=""49-3000""";14.0;14.9;6.4;0.9
Aircraft mechanics and service technicians;"=""49-3011""";0.1;0.1;9.0;0.0
Automotive technicians and repairers;"=""49-3020""";4.4;4.6;5.6;0.2
Automotive body and related repairers;"=""49-3021""";0.7;0.8;5.4;0.0
Automotive service technicians and mechanics;"=""49-3023""";3.7;3.9;5.7;0.2
Bus and truck mechanics and diesel engine specialists;"=""49-3031""";0.3;0.3;7.4;0.0
Heavy vehicle and mobile equipment service technicians and mechanics;"=""49-3040""";0.2;0.3;7.6;0.0
Mobile heavy equipment mechanics, except engines;"=""49-3042""";0.2;0.2;7.2;0.0
Small engine mechanics;"=""49-3050""";8.8;9.4;6.7;0.6
Motorboat mechanics and service technicians;"=""49-3051""";3.9;4.1;6.6;0.3
Outdoor power equipment and other small engine mechanics;"=""49-3053""";4.9;5.2;6.8;0.3
Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers;"=""49-3090""";0.2;0.2;6.7;0.0
Bicycle repairers;"=""49-3091""";0.1;0.1;6.8;0.0
Recreational vehicle service technicians;"=""49-3092""";0.1;0.1;6.9;0.0
Other installation, maintenance, and repair occupations;"=""49-9000""";68.3;73.1;6.9;4.7
Heating, air conditioning, and refrigeration mechanics and installers;"=""49-9021""";0.5;0.6;10.1;0.1
Industrial machinery installation, repair, and maintenance workers;"=""49-9040""";1.6;1.7;6.5;0.1
Industrial machinery mechanics;"=""49-9041""";0.3;0.3;6.8;0.0
Maintenance workers, machinery;"=""49-9043""";1.4;1.4;6.4;0.1
Precision instrument and equipment repairers;"=""49-9060""";0.2;0.2;3.2;0.0
Musical instrument repairers and tuners;"=""49-9063""";0.1;0.1;5.2;0.0
Maintenance and repair workers, general;"=""49-9071""";52.0;56.5;8.6;4.5
Miscellaneous installation, maintenance, and repair workers;"=""49-9090""";14.0;14.1;0.4;0.1
Coin, vending, and amusement machine servicers and repairers;"=""49-9091""";6.1;5.6;-9.7;-0.6
Commercial divers;"=""49-9092""";0.1;0.1;10.4;0.0
Riggers;"=""49-9096""";0.9;0.9;9.8;0.1
Helpers--installation, maintenance, and repair workers;"=""49-9098""";0.8;0.9;8.5;0.1
Installation, maintenance, and repair workers, all other;"=""49-9099""";6.1;6.6;8.0;0.5
Production occupations;"=""51-0000""";5.9;6.2;4.6;0.3
Supervisors of production workers;"=""51-1000""";0.3;0.3;7.0;0.0
First-line supervisors of production and operating workers;"=""51-1011""";0.3;0.3;7.0;0.0
Assemblers and fabricators;"=""51-2000""";1.2;1.3;5.4;0.1
Fiberglass laminators and fabricators;"=""51-2051""";0.1;0.1;6.6;0.0
Miscellaneous assemblers and fabricators;"=""51-2090""";1.1;1.1;6.2;0.1
Food processing workers;"=""51-3000""";0.5;0.5;6.1;0.0
Bakers;"=""51-3011""";0.4;0.4;6.5;0.0
Metal workers and plastic workers;"=""51-4000""";0.8;0.8;2.5;0.0
Machinists;"=""51-4041""";0.2;0.2;5.7;0.0
Welding, soldering, and brazing workers;"=""51-4120""";0.5;0.5;2.9;0.0
Welders, cutters, solderers, and brazers;"=""51-4121""";0.5;0.5;2.9;0.0
Printing workers;"=""51-5100""";0.1;0.1;6.4;0.0
Printing press operators;"=""51-5112""";0.1;0.1;5.9;0.0
Textile, apparel, and furnishings workers;"=""51-6000""";1.5;1.6;6.3;0.1
Laundry and dry-cleaning workers;"=""51-6011""";1.0;1.0;6.2;0.1
Sewing machine operators;"=""51-6031""";0.2;0.2;6.2;0.0
Tailors, dressmakers, and sewers;"=""51-6050""";0.3;0.3;6.4;0.0
Sewers, hand;"=""51-6051""";0.1;0.1;6.6;0.0
Tailors, dressmakers, and custom sewers;"=""51-6052""";0.2;0.2;6.4;0.0
Miscellaneous textile, apparel, and furnishings workers;"=""51-6090""";0.1;0.1;5.8;0.0
Plant and system operators;"=""51-8000""";0.3;0.4;9.9;0.0
Stationary engineers and boiler operators;"=""51-8021""";0.3;0.3;12.3;0.0
Water and wastewater treatment plant and system operators;"=""51-8031""";0.1;0.1;-3.1;0.0
Other production occupations;"=""51-9000""";1.1;1.1;0.2;0.0
Inspectors, testers, sorters, samplers, and weighers;"=""51-9061""";0.2;0.2;-9.9;0.0
Painting workers;"=""51-9120""";0.4;0.5;5.9;0.0
Painting, coating, and decorating workers;"=""51-9123""";0.1;0.1;3.2;0.0
Coating, painting, and spraying machine setters, operators, and tenders;"=""51-9124""";0.4;0.4;6.5;0.0
Miscellaneous production workers;"=""51-9190""";0.3;0.3;2.0;0.0
Helpers--production workers;"=""51-9198""";0.1;0.1;-9.7;0.0
Production workers, all other;"=""51-9199""";0.2;0.2;6.5;0.0
Transportation and material moving occupations;"=""53-0000""";54.9;59.3;8.1;4.4
Supervisors of transportation and material moving workers;"=""53-1000""";2.9;3.1;6.2;0.2
First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors;"=""53-1047""";2.9;3.1;6.2;0.2
Air transportation workers;"=""53-2000""";0.3;0.4;6.3;0.0
Aircraft pilots and flight engineers;"=""53-2010""";0.3;0.3;6.4;0.0
Commercial pilots;"=""53-2012""";0.3;0.3;6.4;0.0
Motor vehicle operators;"=""53-3000""";6.8;7.4;7.7;0.5
Driver/sales workers and truck drivers;"=""53-3030""";2.7;2.9;6.6;0.2
Driver/sales workers;"=""53-3031""";0.3;0.3;6.9;0.0
Heavy and tractor-trailer truck drivers;"=""53-3032""";1.1;1.2;6.3;0.1
Light truck drivers;"=""53-3033""";1.2;1.3;6.9;0.1
Passenger vehicle drivers;"=""53-3050""";2.5;2.7;7.7;0.2
Bus drivers, transit and intercity;"=""53-3052""";0.5;0.6;8.2;0.0
Shuttle drivers and chauffeurs;"=""53-3053""";2.0;2.1;7.4;0.1
Motor vehicle operators, all other;"=""53-3099""";1.6;1.8;9.4;0.2
Rail transportation workers;"=""53-4000""";0.1;0.1;10.3;0.0
Water transportation workers;"=""53-5000""";2.0;2.1;5.6;0.1
Sailors and marine oilers;"=""53-5011""";0.3;0.3;1.3;0.0
Ship and boat captains and operators;"=""53-5020""";1.7;1.8;6.6;0.1
Captains, mates, and pilots of water vessels;"=""53-5021""";1.3;1.3;6.2;0.1
Motorboat operators;"=""53-5022""";0.5;0.5;7.5;0.0
Other transportation workers;"=""53-6000""";8.0;8.6;8.3;0.7
Parking attendants;"=""53-6021""";6.3;6.8;8.8;0.5
Transportation service attendants;"=""53-6030""";1.5;1.6;6.7;0.1
Automotive and watercraft service attendants;"=""53-6031""";1.5;1.6;6.7;0.1
Passenger attendants;"=""53-6061""";0.2;0.2;5.9;0.0
Material moving workers;"=""53-7000""";34.7;37.6;8.5;2.9
Industrial truck and tractor operators;"=""53-7051""";0.9;1.0;7.2;0.1
Laborers and material movers;"=""53-7060""";33.5;36.3;8.5;2.8
Cleaners of vehicles and equipment;"=""53-7061""";1.7;1.9;7.0;0.1
Laborers and freight, stock, and material movers, hand;"=""53-7062""";28.7;31.1;8.6;2.5
Packers and packagers, hand;"=""53-7064""";0.2;0.2;10.5;0.0
Stockers and order fillers;"=""53-7065""";2.9;3.1;8.0;0.2
Material moving workers, all other;"=""53-7199""";0.1;0.2;8.8;0.0
Total, all occupations;"=""00-0000""";1890.8;2015.5;6.6;124.7
Management occupations;"=""11-0000""";116.7;130.9;12.2;14.3
Top executives;"=""11-1000""";31.1;34.6;11.3;3.5
Chief executives;"=""11-1011""";0.4;0.4;9.7;0.0
General and operations managers;"=""11-1021""";30.7;34.2;11.4;3.5
Advertising, marketing, promotions, public relations, and sales managers;"=""11-2000""";11.5;12.8;11.9;1.4
Advertising and promotions managers;"=""11-2011""";0.1;0.1;-7.2;0.0
Marketing and sales managers;"=""11-2020""";11.1;12.4;12.1;1.3
Marketing managers;"=""11-2021""";2.0;2.3;10.7;0.2
Sales managers;"=""11-2022""";9.0;10.2;12.4;1.1
Public relations and fundraising managers;"=""11-2030""";0.3;0.3;8.9;0.0
Public relations managers;"=""11-2032""";0.2;0.2;10.2;0.0
Fundraising managers;"=""11-2033""";0.1;0.1;5.6;0.0
Operations specialties managers;"=""11-3000""";15.8;18.3;15.4;2.4
Administrative services and facilities managers;"=""11-3010""";7.0;7.8;11.5;0.8
Administrative services managers;"=""11-3012""";1.5;1.7;11.5;0.2
Facilities managers;"=""11-3013""";5.5;6.1;11.5;0.6
Computer and information systems managers;"=""11-3021""";0.8;1.0;19.0;0.2
Financial managers;"=""11-3031""";4.8;5.9;22.9;1.1
Purchasing managers;"=""11-3061""";0.3;0.4;11.5;0.0
Transportation, storage, and distribution managers;"=""11-3071""";0.1;0.2;9.8;0.0
Compensation and benefits managers;"=""11-3111""";0.1;0.1;3.3;0.0
Human resources managers;"=""11-3121""";2.3;2.6;12.0;0.3
Training and development managers;"=""11-3131""";0.3;0.3;10.3;0.0
Other management occupations;"=""11-9000""";58.2;65.2;11.9;6.9
Construction managers;"=""11-9021""";0.1;0.2;18.0;0.0
Architectural and engineering managers;"=""11-9041""";0.2;0.2;12.6;0.0
Food service managers;"=""11-9051""";10.4;11.6;12.0;1.2
